AChBP_random,Cav2.2_random,α4β2_random,α9α10_random,α7_random,α3β4_random,Nav1.2_random,α3β2_random,AChBP_C1,Cav2.2_C1,α4β2_C1,α9α10_C1,α7_C1,α3β4_C1,Nav1.2_C1,α3β2_C1,Nav1.2_C2,α4β2_C2,AChBP_C2,α7_C2,Cav2.2_C2,α3β4_C2,α9α10_C2,α3β2_C2,Nav1.2_C3,α4β2_C3,AChBP_C3,α7_C3,Cav2.2_C3,α3β4_C3,α9α10_C3,α3β2_C3,Nav1.2_C4,α4β2_C4,AChBP_C4,α7_C4,Cav2.2_C4,α3β4_C4,α9α10_C4,α3β2_C4,Nav1.2_C5,α4β2_C5,AChBP_C5,α7_C5,Cav2.2_C5,α3β4_C5,α9α10_C5,α3β2_C5
-1.6568,2.3424,17.10839,10.87709,5.20048,9.80315,12.2768,19.07835,1.16398,10.43482,13.73318,1.0734,1.8686,8.23245,4.8268,0.6959,11.91604,8.1773,-1.2832,8.35285,5.89962,2.7051,0.4139,1.6138,14.14633,21.56607,2.42859,3.22643,2.3724,-3.3214,1.1043,-0.4725,10.13884,39.3051,2.00732,0.3204,2.3022,4.1055,9.35858,-2.5041,20.63268,19.98422,-3.3955,-4.2919,-5.6858,-3.5367,0.7256,-0.8647
4.38098,2.3603,29.9399,13.56695,1.29001,26.7132,6.92428,32.2555,-3.2308,2.5664,2.1434,-4.733,1.689,0.7075,18.57658,1.0537,16.6450743,45.8395,-1.9651,2.36008,15.85375,1.1374,7.665,1.4211,4.7924,33.1772,0.399,4.65324,5.58486,0.2522,4.3815,4.2163,20.10349,-3.1091,-1.1872,1.30016,4.83785,0.8125,-6.1847,0.3277,20.47015,2.3521,3.59444,3.49219,3.89405,-0.5325,2.1486,3.0937
11.94448,2.4459,30.22614,17.165236,8.59944,18.46839,11.53501,0.7815,1.90655,0.2565,-1.2899,11.10772,23.8944,7.51173,19.22871,20.99166,5.5968,16.963,-2.9697,33.566,15.34669,8.7741,3.7294,13.86786,5.6111,8.0959,5.56879,0.71016,2.1558,2.6029,-0.6803,19.13644,14.7391,-4.7334,2.61637,1.86038,1.5155,0.1119,7.8737,2.5739,14.9623,-2.2395,-3.3642,0.7572,2.8468,1.1186,4.4661,3.186
2.14108,2.4806,9.5969,10.0035,2.52529,7.70938,9.95767,22.47467,21.125,1.7115,4.4124,0.0618,-3.8335,5.77912,13.1812,12.62813,2.1981,27.98268,7.98932,3.19509,8.30348,-1.258,2.3614,3.1392,22.97601,33.1422,0.1893,-1.0647,-3.0872,-0.8859,1.8606,6.55637,4.7809,6.9835,-0.5667,3.39517,12.01707,-2.7314,1.0478,3.7714,18.45945,34.4791,-0.1449,2.84235,-4.9925,-1.333,-1.5588,1.9941
18.16283,2.5014,5.1514,14.88012,5.03388,3.0257,9.03614,15.88216,7.0109,5.88846,0.9112,3.537,-0.7287,4.9524,16.353737,21.35105,24.15001,19.47876,-1.3814,14.4126,19.36732,1.6937,0.6113,8.51765,12.39377,2.9096,-0.6158,5.9443,-1.6705,1.4587,0.7301,0.1713,12.20109,22.922339,-3.7172,-4.297,6.51398,-0.2624,0.9463,1.8216,3.413,0.7675,5.16369,2.7927,-1.9612,2.9268,4.3873,-3.7325
0.3724,2.516,15.55131,21.02406,3.93202,12.728495,10.26028,19.75915,0.3765,7.34851,2.1626,2.6761,0.0415,4.02223,16.7298583,4.0469,15.20124,20.06431,3.73912,2.16939,5.03615,4.22527,6.3679,-2.1486,18.16181,15.85344,-5.6839,1.33682,1.2098,-0.6653,-0.2691,1.597,6.80146,6.9187,-3.8023,-0.4496,4.56895,10.38239,-3.4805,3.4883,9.81592,0.9098,7.89551,-1.1008,-7.4151,-1.8725,19.81702,-0.0322
6.88044,2.5163,21.665782,13.60819,1.08386,7.71403,9.48921,1.9117,22.5073,12.782694,-1.5257,5.7417,-0.1092,8.16343,17.87474,3.4339,8.78403,5.8859,2.42568,5.51604,8.58088,5.14474,-1.5253,4.4426,16.520115,6.0627,0.6738,-4.3566,2.4582,1.6309,10.6415,-0.4287,9.53812,3.858,3.76857,1.93529,-2.6028,5.71063,-4.7569,6.84265,-1.4968,0.8041,1.57484,1.81857,-0.4533,-3.3774,-1.5317,0.557
33.2674,2.5254,19.95273,4.7585,6.30518,-0.4506,10.76251,19.59474,16.8272,-6.861,-3.2407,18.554691,1.52653,10.91916,9.48351,0.8321,17.8522,15.15552,-7.2144,15.65742,-4.6327,2.0262,1.2924,10.2489,7.96332,-0.6811,5.35151,3.51657,-12.0261,3.16301,9.47149,9.0682,20.46103,20.75578,-4.0167,-1.2087,1.5385,3.67326,4.713,6.96313,17.99071,29.9712,-0.2732,-1.2937,0.008,4.25706,0.6097,-2.959
-1.7272,2.5285,10.7109,6.5979,1.69125,2.6591,10.84216,27.7283,6.6387,-0.9656,22.438157,9.00109,2.01398,13.403819,7.63349,2.4944,4.2221,4.3027,0.6379,-0.8625,16.49503,3.96028,8.13885,6.09328,23.00301,17.81732,2.71765,8.55398,-2.4935,-2.8648,-4.4579,1.7808,0.5879,20.30782,-2.7593,0.85542,-1.556,0.4389,3.3962,21.86014,15.826587,26.84569,0.2898,3.16087,6.08799,-2.8246,0.8949,-4.0665
-0.1121,2.5525,27.94614,3.9583,6.32299,5.8209,13.17975,13.07216,10.019139,5.28187,3.9052,0.6537,1.67108,6.23768,8.00273,1.1401,14.37154,-3.4619,1.15875,4.37271,6.31556,0.2649,-0.6397,-1.0356,13.92789,15.70062,13.42146,-1.1324,5.94932,-3.2183,0.4563,-1.9739,13.74821,21.15838,-0.3177,5.19094,-2.8603,4.49268,6.1722,2.457,17.523651,10.8651,-3.2552,9.998681,6.81354,-5.0835,1.7804,2.537
10.527092,2.5763,11.7642,7.4978,1.16682,11.53404,7.36801,12.53681,-0.9931,3.47259,8.5938,-1.1995,2.54689,2.4964,9.14916,4.6378,10.22191,4.7704,13.36287,-0.1332,-0.7365,7.7628,-2.3773,-0.5294,18.4885,21.16764,5.7125,5.41042,1.655,0.8722,2.1878,7.12831,18.3664,13.42978,5.13643,9.46043,2.5168,1.4068,-3.3765,8.65829,6.6184,11.3272,-9.1416,4.9085,4.17417,-0.1617,-1.223,-1.8825
